"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
"Leasure, Jordan",673929,CWS,FF,4-Seam Fastball,1.2,0,18,48.6,4,0.25,0.25,0.225,10.0,0.0,0.0,0.083,0.214,0.123,50.0
"Dreyer, Jack",676263,LAD,FF,4-Seam Fastball,6.1,1,15,57.7,4,0.0,0.0,0.0,28.6,25.0,16.7,0.128,0.226,0.148,100.0
"Vesia, Alex",681911,LAD,FF,4-Seam Fastball,7.9,1,13,46.4,4,0.0,0.0,0.0,22.2,0.0,0.0,0.049,0.072,0.053,25.0
"Webb, Jacob",657097,CHC,FF,4-Seam Fastball,-19.6,-3,17,54.8,4,0.5,2.0,1.075,0.0,0.0,0.0,0.654,2.167,0.932,100.0
"Sheehan, Emmet",686218,LAD,FF,4-Seam Fastball,-4.7,-2,36,43.4,4,0.5,1.5,0.813,41.2,25.0,9.1,0.389,1.026,0.588,66.7
"Beeter, Clayton",690925,WSH,FF,4-Seam Fastball,4.0,1,15,50.0,4,0.0,0.0,0.175,33.3,25.0,100.0,0.172,0.396,0.352,50.0
"Lord, Brad",695418,WSH,FF,4-Seam Fastball,3.4,0,13,27.7,4,0.5,0.5,0.45,20.0,25.0,25.0,0.33,0.36,0.302,66.7
"Bednar, David",670280,NYY,FF,4-Seam Fastball,0.3,0,14,35.9,4,0.0,0.0,0.35,11.1,0.0,0.0,0.269,0.284,0.472,0.0
"Duran, Jhoan",661395,PHI,FF,4-Seam Fastball,-8.1,-1,9,26.5,4,0.5,0.5,0.45,40.0,25.0,25.0,0.423,0.452,0.386,66.7
"Waldichuk, Ken",686610,WSH,FF,4-Seam Fastball,-3.0,0,15,46.9,4,0.5,0.5,0.575,0.0,0.0,0.0,0.42,0.454,0.542,0.0
"Domínguez, Seranthony",622554,CWS,FF,4-Seam Fastball,-6.7,-1,12,37.5,4,0.667,0.667,0.625,25.0,0.0,0.0,0.414,0.497,0.473,33.3
"Myers, Tobias",668964,NYM,FF,4-Seam Fastball,-3.2,0,13,33.3,4,0.25,1.0,0.5,16.7,0.0,0.0,0.115,0.253,0.153,50.0
"Smith, Shane",681343,CWS,FF,4-Seam Fastball,-1.4,0,28,51.9,4,0.0,0.0,0.525,25.0,25.0,10.0,,,0.525,
"Enns, Dietrich",608650,BAL,FF,4-Seam Fastball,4.7,1,12,36.4,4,0.25,0.25,0.225,37.5,0.0,0.0,0.28,0.327,0.265,50.0
"Morán, Jovani",663558,BOS,FF,4-Seam Fastball,9.7,1,11,44.0,4,0.0,0.0,0.0,33.3,25.0,33.3,0.198,0.311,0.221,0.0
"Zeferjahn, Ryan",666171,LAA,FF,4-Seam Fastball,14.9,1,6,26.1,4,0.0,0.0,0.0,33.3,50.0,50.0,0.056,0.208,0.106,50.0
"Wells, Tyler",669330,BAL,FF,4-Seam Fastball,-19.3,-2,8,19.5,4,1.0,3.0,0.75,0.0,0.0,0.0,0.42,0.751,0.512,50.0
